Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,99.90,79.90,15.98,,
2021-01-02,true,99.90,79.90,15.98,,
2021-01-03,true,99.90,79.90,15.98,,
2021-01-04,true,99.90,79.90,15.98,,
2021-01-05,false,99.90,69.90,13.98,,
2021-01-06,true,99.90,69.90,13.98,"**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-07,true,99.90,69.90,13.98,"**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-08,true,99.90,69.90,13.98,,
2021-01-09,true,99.90,69.90,13.98,"**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
